x,y,z,r,p,y
-3.10902,-10.3891,0.166868,57.0765,0.818956,-0.0396433
-3.11113,-10.39,0.155199,55.4686,1.10062,-0.0144885
-3.10989,-10.3881,0.16275,53.6693,0.794549,-0.0484763
-3.10845,-10.3881,0.167998,51.943,0.643328,-0.284187
-3.10583,-10.3838,0.169363,50.3488,0.584726,-0.267983
-3.10795,-10.3829,0.170139,48.6569,0.670446,-0.0828674
-3.10785,-10.3806,0.169913,46.898,0.562929,-0.214739
-3.10783,-10.3793,0.168615,45.1311,0.494035,-0.213207
-3.1069,-10.3789,0.168243,43.4706,0.469355,-0.366566
-3.10807,-10.3854,0.155077,41.8107,0.829682,-0.215453
-3.10617,-10.3867,0.157791,40.1941,0.340629,-0.357562
-3.10757,-10.3897,0.160844,38.51,0.330203,-0.226828
-3.11181,-10.3947,0.149196,36.8784,0.961437,-0.129534
-3.11214,-10.3924,0.15679,35.1237,0.367676,-0.175476
-3.11672,-10.3973,0.1448,33.5424,0.857323,-0.233602
-3.11317,-10.3964,0.15458,31.7994,0.145033,-0.435801
-3.11006,-10.4039,0.163551,30.2144,0.216581,-0.242332
-3.11063,-10.4042,0.15363,28.4617,0.544957,-0.381639
-3.11039,-10.3997,0.159861,26.6717,0.178117,-0.278476
-3.11093,-10.3933,0.165121,24.9648,0.24967,-0.181824
-3.11386,-10.3894,0.167044,23.3377,0.242228,-0.209044
-3.11679,-10.3827,0.168447,21.6234,0.415626,-0.165448
-3.12113,-10.3795,0.166431,19.8399,0.433378,-0.169144
-3.12268,-10.3704,0.164976,18.2025,0.301554,-0.151659
-3.11801,-10.3666,0.160645,16.4917,0.151416,-0.129193
-3.11999,-10.3632,0.159481,14.7679,0.525517,-0.0275005
-3.11971,-10.3655,0.155491,13.1556,0.480479,-0.00987536
-3.11991,-10.3633,0.151573,11.5227,0.575154,-0.0148994
-3.12447,-10.3709,0.137392,10.2402,1.02986,-0.460952
-3.12087,-10.3737,0.140617,10.522,0.412422,-0.0521407
-3.11794,-10.3767,0.145419,10.4924,0.491704,0.0036173
-3.11894,-10.3881,0.152966,10.5533,0.616172,0.0227454
-3.12155,-10.3964,0.158651,10.5891,0.854695,0.113346
-3.12672,-10.4018,0.148715,10.5593,1.05322,-0.358101
-3.12457,-10.3999,0.152806,10.65,0.630431,-0.012949
-3.12213,-10.4043,0.159381,10.6347,0.598934,-0.0577818
-3.12451,-10.406,0.149219,10.5733,1.01067,-0.270032
-3.12101,-10.4026,0.150885,10.4701,0.274647,-0.180895
-3.13004,-10.4056,0.138726,10.5843,1.13649,-0.388392
-3.13115,-10.3896,0.150488,10.5198,1.05414,0.121018
-3.12224,-10.377,0.151424,10.4188,0.312037,-0.0141959
-3.12122,-10.3682,0.153003,10.4512,0.628661,0.122404
-3.11953,-10.3661,0.156406,10.4718,0.644241,0.0793164
-3.12133,-10.3642,0.158053,10.5452,0.939891,0.183959
-3.12028,-10.367,0.144929,10.5828,0.631835,-0.432428
-3.12462,-10.3682,0.150564,10.436,0.808697,0.153736
-3.12297,-10.3701,0.153469,10.4705,0.741145,0.0345247
-3.12629,-10.3754,0.140822,10.5825,0.995676,-0.451269
-3.12855,-10.3745,0.145934,10.4938,0.768265,0.105032
-3.12508,-10.3772,0.149402,10.4394,0.461611,-0.0300368
-3.11952,-10.3777,0.149779,10.4111,0.188086,-0.170883
-3.11961,-10.3824,0.154115,10.54,0.639969,0.056968
-3.12103,-10.39,0.157974,10.5182,0.622489,0.0687953
-3.12208,-10.3951,0.16115,10.5273,0.514303,0.0220208
-3.12003,-10.3954,0.160184,10.4882,0.419807,-0.01755
-3.12232,-10.3979,0.15996,10.5175,0.624045,0.0571515
-3.12274,-10.3986,0.159249,10.5174,0.550727,0.0748237
